CREATED_DTM,ORDERS_REG,ORDERS_STO,ORDERS_WITEL,STATUS_NOTIF,TEMPLATE_TYPE
3/21/2022 12:06,REGIONAL 1,DAR,ACEH,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 1,MBO,ACEH,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 1,BNC,BENGKULU,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 1,TJN,PKPINANG,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 1,PDB,MEDAN,WA Rejected,ULDL
3/21/2022 12:06,REGIONAL 1,BNC,BENGKULU,WA Read,ULDL
3/21/2022 12:06,REGIONAL 1,JMB,JAMBI,WA Read,ULDL
3/21/2022 12:06,REGIONAL 1,MND,JAMBI,WA Read,ULDL
3/21/2022 12:06,REGIONAL 1,LBP,MEDAN,WA Read,ULDL
3/21/2022 12:06,REGIONAL 1,MDC,MEDAN,WA Read,ULDL
3/21/2022 12:06,REGIONAL 1,MDC,MEDAN,WA Read,ULDL
3/21/2022 12:06,REGIONAL 1,TJM,MEDAN,WA Read,ULDL
3/21/2022 12:06,REGIONAL 1,DGS,RIKEP,WA Read,ULDL
3/21/2022 16:06,REGIONAL 1,BKJ,ACEH,WA Delivered,ULDL
3/21/2022 16:06,REGIONAL 1,DAR,ACEH,WA Delivered,ULDL
3/21/2022 16:06,REGIONAL 1,KOA,JAMBI,WA Delivered,ULDL
3/21/2022 16:06,REGIONAL 1,KTL,JAMBI,WA Delivered,ULDL
3/21/2022 16:06,REGIONAL 1,KDT,LAMPUNG,WA Delivered,ULDL
3/21/2022 16:06,REGIONAL 1,CTD,MEDAN,WA Delivered,ULDL
3/21/2022 16:06,REGIONAL 1,LBP,MEDAN,WA Delivered,ULDL
3/21/2022 16:06,REGIONAL 1,MCD,MEDAN,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,PDE,BEKASI,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,PDE,BEKASI,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,PDE,BEKASI,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,PDE,BEKASI,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,PDE,BEKASI,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,PDE,BEKASI,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,PKY,BEKASI,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,PKY,BEKASI,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,STN,BEKASI,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,TAR,BEKASI,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,TAR,BEKASI,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,BJD,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,BOO,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,BOO,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,BOO,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,BOO,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CBI,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CBI,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CBI,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CJU,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CRI,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CRI,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CSE,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CSL,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CSL,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CSR,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CWI,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,DEP,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,DEP,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,DEP,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,DEP,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,DEP,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,DEP,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,DMG,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,GPI,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,JGL,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,PAG,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,PAR,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,PAR,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,PCM,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,SKJ,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,SKJ,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,SKJ,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,SPL,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,SPL,BOGOR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CKG,JAKBAR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CKG,JAKBAR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CKG,JAKBAR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,KDY,JAKBAR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,KDY,JAKBAR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,KPK,JAKBAR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,MRY,JAKBAR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,MRY,JAKBAR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,PLM,JAKBAR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,PLM,JAKBAR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,PLM,JAKBAR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,SLP,JAKBAR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,SMI,JAKBAR,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CID,JAKPUS,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CID,JAKPUS,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CPP,JAKPUS,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CPP,JAKPUS,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CPP,JAKPUS,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,GBC,JAKPUS,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,GBC,JAKPUS,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,GBC,JAKPUS,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,GBC,JAKPUS,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,GBI,JAKPUS,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,GBI,JAKPUS,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,GBI,JAKPUS,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,BIN,JAKSEL,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,BIN,JAKSEL,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,BIN,JAKSEL,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,CPE,JAKSEL,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,JAG,JAKSEL,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,JAG,JAKSEL,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,KAL,JAKSEL,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,KAL,JAKSEL,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,KBY,JAKSEL,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,KBY,JAKSEL,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,KMG,JAKSEL,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,BAY,SERANG,WA Delivered,ULDL
3/21/2022 12:06,REGIONAL 2,BLJ,SERANG,WA Delivered,ULDL
